m,a,e,c_h,cost_policy,cost_fixed_threshold,cost_amount_blind,cost_headline_B_system,cost_trivial,trivial,savings_vs_trivial,gap_vs_fixed,gap_vs_amount_blind,delta_headline_minus_ours_per_1k_txn,mix_approve,mix_stepup,mix_block
0.25,0.125,0.95,30.0,125704.0,231746.0,128034.0,114532.0,557056.0,approve-all,0.7743,0.1904,0.0042,-139.7,0.856,0.134,0.01
0.25,0.125,0.95,60.0,135659.0,252386.0,136693.0,123338.0,641356.0,approve-all,0.7885,0.182,0.0016,-154.1,0.828,0.161,0.011
0.25,0.2,0.6,15.0,197304.0,221426.0,197275.0,192454.0,514906.0,approve-all,0.6168,0.0468,-0.0001,-60.7,0.94,0.043,0.017
0.25,0.2,0.6,30.0,207695.0,231746.0,208947.0,203323.0,557056.0,approve-all,0.6272,0.0432,0.0022,-54.7,0.93,0.05,0.02
0.25,0.2,0.6,60.0,227461.0,252386.0,232473.0,220199.0,641356.0,approve-all,0.6453,0.0389,0.0078,-90.8,0.911,0.065,0.025
0.25,0.2,0.775,15.0,177553.0,221426.0,177292.0,168267.0,514906.0,approve-all,0.6552,0.0852,-0.0005,-116.1,0.927,0.059,0.014
0.25,0.2,0.775,30.0,185038.0,231746.0,186576.0,176294.0,557056.0,approve-all,0.6678,0.0838,0.0028,-109.4,0.913,0.072,0.015
0.25,0.2,0.775,60.0,199428.0,252386.0,199984.0,191251.0,641356.0,approve-all,0.6891,0.0826,0.0009,-102.3,0.891,0.091,0.018
0.25,0.2,0.95,15.0,151975.0,221426.0,151842.0,136431.0,514906.0,approve-all,0.7048,0.1349,-0.0003,-194.4,0.908,0.082,0.01
0.25,0.2,0.95,30.0,158714.0,231746.0,152053.0,142165.0,557056.0,approve-all,0.7151,0.1311,-0.012,-207.0,0.894,0.095,0.011
0.25,0.2,0.95,60.0,171215.0,252386.0,162676.0,154212.0,641356.0,approve-all,0.733,0.1266,-0.0133,-212.7,0.872,0.116,0.011
